fsa,name_/_area,nearest_airport_city,co2e_cdg_kg,co2e_lhr_kg,co2e_nrt_kg,co2e_set1_kg,co2e_set2_kg,cad1_cdg,cad1_lhr,cad1_nrt,cad1_set1,cad1_set2,cad2_cdg,cad2_lhr,cad2_nrt,cad2_set1,cad2_set2,cad3_cdg,cad3_lhr,cad3_nrt,cad3_set1,cad3_set2
T2M,Calgary (Mount Pleasant / Capitol Hill / Banff Trail),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T2N,Calgary (Kensington / Westmont / Parkdale / University),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T2P,Calgary (City Centre / Calgary Tower),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T2R,Calgary (Connaught / West Victoria Park),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T2S,Calgary (Elbow Park / Britannia / Parkhill / Mission),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T2T,Calgary South (Altadore / Bankview / Richmond),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T2V,Calgary (Oak Ridge / Haysboro / Kingsland / Windsor Park),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T2W,Calgary (Braeside / Woodbine),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T2X,Calgary (Midnapore / Sundance),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T2Y,Calgary (Millrise / Somerset / Bridlewood / Evergreen),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T2Z,Calgary (Douglas Glen / McKenzie Lake / Copperfield / East Shepard),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T3A,Calgary (Dalhousie / Edgemont / Hamptons / Hidden Valley),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T3B,Calgary (Montgomery / Bowness / Silver Springs / Greenwood),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T3C,Calgary (Rosscarrock / Wildwood / Shaganappi / Sunalta),Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
