fsa,name_/_area,nearest_airport_city,co2e_cdg_kg,co2e_lhr_kg,co2e_nrt_kg,co2e_set1_kg,co2e_set2_kg,cad1_cdg,cad1_lhr,cad1_nrt,cad1_set1,cad1_set2,cad2_cdg,cad2_lhr,cad2_nrt,cad2_set1,cad2_set2,cad3_cdg,cad3_lhr,cad3_nrt,cad3_set1,cad3_set2
T6V,Edmonton (West Castledowns),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T6W,Edmonton (Heritage Valley),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T6X,Edmonton (Ellerslie),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T7A,Drayton Valley,Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T7E,Edson,Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T7N,Barrhead,Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T7P,Westlock,Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T7S,Whitecourt,Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T7V,Hinton,Grande Prairie,1399.7,1507.7,1610.3,681.2,722.1,41.0,44.0,47.0,20.0,21.0,370.0,400.0,430.0,180.0,190.0,1500.0,1600.0,1700.0,720.0,770.0
T7X,Spruce Grove North,Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T7Y,Spruce Grove South,Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T7Z,Stony Plain,Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T8A,Sherwood Park West,Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T8B,Sherwood Park Outer Southwest,Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T8C,Sherwood Park Inner Southwest,Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T8E,Sherwood Park Central,Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T8G,Sherwood Park East,Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T8H,Sherwood Park Northwest,Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T8L,Fort Saskatchewan,Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T8N,St. Albert,Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T8R,Morinville,Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T8S,Peace River,Grande Prairie,1399.7,1507.7,1610.3,681.2,722.1,41.0,44.0,47.0,20.0,21.0,370.0,400.0,430.0,180.0,190.0,1500.0,1600.0,1700.0,720.0,770.0
T8T,St. Albert,Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T8V,Grande Prairie Central,Grande Prairie,1399.7,1507.7,1610.3,681.2,722.1,41.0,44.0,47.0,20.0,21.0,370.0,400.0,430.0,180.0,190.0,1500.0,1600.0,1700.0,720.0,770.0
T8W,Grande Prairie South,Grande Prairie,1399.7,1507.7,1610.3,681.2,722.1,41.0,44.0,47.0,20.0,21.0,370.0,400.0,430.0,180.0,190.0,1500.0,1600.0,1700.0,720.0,770.0
T8X,Grande Prairie East,Grande Prairie,1399.7,1507.7,1610.3,681.2,722.1,41.0,44.0,47.0,20.0,21.0,370.0,400.0,430.0,180.0,190.0,1500.0,1600.0,1700.0,720.0,770.0
T9A,Wetaskiwin,Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
