fsa,name_/_area,rovince_/_territory,lat,lon,nearest_major_airport,airport_iata,airport_sl_km,"dist_set_a_km
(yvr+sfo)","dist_set_b_km
(yyz+jfk)",further_set,d1_name,d1_sl_km,d1_driving_km,d1_driving_hrs,d2_name,d2_sl_km,d2_driving_km,d2_driving_hrs,co2e_cdg_kg,co2e_lhr_kg,co2e_nrt_kg,"set_airport_1
(iata)",co2e_set1_kg,co2e_set2_kg
A1G,St. John's South,Newfoundland and Labrador,47.506,-52.7603,St. John's Intl,YYT,12.5,5312.7,1979.4,A,St. John's NL,7.1,8.13,0.148,Gros Morne NL,436.1,699.65,8.9848,745.8,811.6,1878.9,YVR,1097.5,1241.7
A1H,St. John's Southwest,Newfoundland and Labrador,47.483,-52.8415,St. John's Intl,YYT,16.5,5308.1,1973.0,A,St. John's NL,13.0,15.91,0.3721,Gros Morne NL,432.5,698.21,9.075,745.8,811.6,1878.9,YVR,1097.5,1241.7
A1K,Torbay,Newfoundland and Labrador,47.6666,-52.7313,St. John's Intl,YYT,5.6,5307.9,1984.4,A,St. John's NL,11.8,13.94,0.3737,Gros Morne NL,428.2,713.27,9.2197,745.8,811.6,1878.9,YVR,1097.5,1241.7
A1L,Paradise,Newfoundland and Labrador,47.5291,-52.8814,St. John's Intl,YYT,13.9,5303.4,1970.9,A,St. John's NL,13.2,17.93,0.3241,Gros Morne NL,427.1,694.95,8.9072,745.8,811.6,1878.9,YVR,1097.5,1241.7
A1M,Portugal Cove-St. Philips,Newfoundland and Labrador,47.6207,-52.8318,St. John's Intl,YYT,6.0,5303.0,1976.2,A,St. John's NL,11.1,14.43,0.3157,Gros Morne NL,424.6,713.13,9.1745,745.8,811.6,1878.9,YVR,1097.5,1241.7
A1N,Mount Pearl,Newfoundland and Labrador,47.5194,-52.8122,St. John's Intl,YYT,11.9,5308.6,1975.8,A,St. John's NL,8.8,13.33,0.2308,Gros Morne NL,432.0,693.95,8.8934,745.8,811.6,1878.9,YVR,1097.5,1241.7
A1S,Goulds,Newfoundland and Labrador,47.4212,-52.8077,St. John's Intl,YYT,22.3,5313.1,1974.4,A,St. John's NL,17.2,19.77,0.4494,Gros Morne NL,438.6,704.52,9.1927,745.8,811.6,1878.9,YVR,1097.5,1241.7
A1V,Gander,Newfoundland and Labrador,48.9682,-54.5906,St. John's Intl,YYT,202.5,5128.3,1883.4,A,St. John's NL,209.2,335.29,4.4,Corner Brook NL,245.4,359.2,4.5936,745.8,811.6,1878.9,YVR,1097.5,1241.7
A1W,Manuels,Newfoundland and Labrador,47.5096,-52.9447,St. John's Intl,YYT,18.9,5299.9,1965.9,A,St. John's NL,18.4,24.99,0.3893,Gros Morne NL,424.5,681.46,8.9031,745.8,811.6,1878.9,YVR,1097.5,1241.7
A1X,Conception Bay,Newfoundland and Labrador,47.4999,-52.9981,St. John's Intl,YYT,22.7,5296.6,1961.8,A,St. John's NL,22.5,29.09,0.4093,Gros Morne NL,421.8,676.23,8.7879,745.8,811.6,1878.9,YVR,1097.5,1241.7
A1Y,Carbonear,Newfoundland and Labrador,47.7113,-53.2953,St. John's Intl,YYT,42.0,5267.3,1944.1,A,St. John's NL,46.7,113.06,1.5809,Gros Morne NL,390.1,674.87,8.8311,745.8,811.6,1878.9,YVR,1097.5,1241.7
A2A,Grand Falls,Newfoundland and Labrador,48.9332,-55.6649,Deer Lake Airport,YDF,129.5,5056.6,1808.0,A,Cape Breton (Cabot Trail) NS,486.2,698.65,13.8726,Îles de la Madeleine QC,491.1,1423.17,26.1924,819.4,794.2,2548.2,YVR,854.3,1182.8
A2B,Windsor,Newfoundland and Labrador,48.9499,-55.6649,Deer Lake Airport,YDF,129.0,5055.9,1808.6,A,Cape Breton (Cabot Trail) NS,487.4,697.0,13.844,Îles de la Madeleine QC,491.7,1421.52,26.1638,819.4,794.2,2548.2,YVR,854.3,1182.8
A2H,Corner Brook,Newfoundland and Labrador,48.9156,-57.797,Deer Lake Airport,YDF,44.2,4911.4,1662.0,A,Cape Breton (Cabot Trail) NS,377.2,449.47,10.963,Charlottetown PE,498.5,946.61,17.0026,819.4,794.2,2548.2,YVR,854.3,1182.8
A2N,Stephenville,Newfoundland and Labrador,48.55,-58.5818,Deer Lake Airport,YDF,113.9,4870.4,1594.8,A,Cape Breton (Cabot Trail) NS,312.0,385.38,10.046,Summerside PE,458.9,852.78,15.7249,819.4,794.2,2548.2,YVR,854.3,1182.8
A2V,Labrador City,Newfoundland and Labrador,52.9517,-66.9328,Sept-Iles Airport,YZV,306.9,4189.2,1426.7,A,Gaspé QC,489.4,1204.59,18.9465,Happy Valley-Goose Bay NL,435.8,532.11,6.7266,934.6,971.1,1853.4,YVR,788.1,860.2
A5A,Clarenville,Newfoundland and Labrador,48.1666,-53.9648,St. John's Intl,YYT,109.0,5202.6,1905.7,A,St. John's NL,115.1,189.14,2.433,Gros Morne NL,320.8,516.95,6.6099,745.8,811.6,1878.9,YVR,1097.5,1241.7
A8A,Deer Lake,Newfoundland and Labrador,49.1667,-57.4316,Deer Lake Airport,YDF,5.7,4927.5,1696.3,A,Cape Breton (Cabot Trail) NS,415.4,485.59,11.2223,St. John's NL,391.6,639.96,8.1679,819.4,794.2,2548.2,YVR,854.3,1182.8
