fsa,name_/_area,rovince_/_territory,lat,lon,nearest_major_airport,airport_iata,airport_sl_km,"dist_set_a_km
(yvr+sfo)","dist_set_b_km
(yyz+jfk)",further_set,d1_name,d1_sl_km,d1_driving_km,d1_driving_hrs,d2_name,d2_sl_km,d2_driving_km,d2_driving_hrs,co2e_cdg_kg,co2e_lhr_kg,co2e_nrt_kg,"set_airport_1
(iata)",co2e_set1_kg,co2e_set2_kg
A0A,Southeastern Avalon Peninsula (Ferryland),Newfoundland and Labrador,47.2195,-53.1448,St. John's Intl,YYT,53.3,5298.4,1946.1,A,St. John's NL,50.0,63.09,1.8778,Gros Morne NL,432.0,711.31,10.1441,745.8,811.6,1878.9,YVR,1097.5,1241.7
A0B,Western Avalon Peninsula (Argentia),Newfoundland and Labrador,47.327,-53.6609,St. John's Intl,YYT,75.6,5258.2,1909.9,A,St. John's NL,75.9,103.73,1.3313,Gros Morne NL,394.6,633.14,8.0713,745.8,811.6,1878.9,YVR,1097.5,1241.7
A0C,Bonavista Peninsula (Bonavista),Newfoundland and Labrador,48.3843,-53.9081,St. John's Intl,YYT,121.0,5197.7,1915.2,A,St. John's NL,127.6,219.69,2.9559,Gros Morne NL,312.7,512.28,6.7709,745.8,811.6,1878.9,YVR,1097.5,1241.7
A0E,Burin Peninsula (Marystown),Newfoundland and Labrador,47.5607,-54.7801,St. John's Intl,YYT,152.2,5171.1,1832.8,A,Cape Breton (Cabot Trail) NS,471.5,1081.5,19.1124,Gros Morne NL,315.9,661.48,8.8154,745.8,811.6,1878.9,YVR,1097.5,1241.7
A0G,Northeast Newfoundland (Lewisporte),Newfoundland and Labrador,48.8657,-54.7296,St. John's Intl,YYT,201.7,5122.8,1870.7,A,St. John's NL,208.2,356.28,6.2871,Corner Brook NL,235.6,463.4,7.5179,745.8,811.6,1878.9,YVR,1097.5,1241.7
A0H,Central Newfoundland (Bishops Falls),Newfoundland and Labrador,48.4311,-56.1758,Deer Lake Airport,YDF,124.2,5040.6,1756.5,A,Cape Breton (Cabot Trail) NS,422.5,931.37,18.3331,Îles de la Madeleine QC,439.8,1655.89,30.6529,819.4,794.2,2548.2,YVR,854.3,1182.8
A0J,Northern Newfoundland (Springdale),Newfoundland and Labrador,49.5067,-56.2616,Deer Lake Airport,YDF,88.2,4994.9,1787.7,A,Cape Breton (Cabot Trail) NS,498.3,620.16,13.0775,Îles de la Madeleine QC,476.0,1344.68,25.3973,819.4,794.2,2548.2,YVR,854.3,1182.8
A0K,Northwest Newfoundland/Eastern Labrador (Mary's Harbour),Newfoundland and Labrador,52.7359,-57.9825,Deer Lake Airport,YDF,394.1,4776.7,1840.1,A,Gros Morne NL,349.2,665.86,9.4571,Grand Falls-Windsor NL,452.7,936.12,12.711,819.4,794.2,2548.2,YVR,854.3,1182.8
A0L,Western Newfoundland (Lark Harbour),Newfoundland and Labrador,48.9445,-58.0645,Deer Lake Airport,YDF,57.3,4892.1,1645.1,A,Cape Breton (Cabot Trail) NS,369.1,449.93,10.8485,Charlottetown PE,484.5,947.07,16.8881,819.4,794.2,2548.2,YVR,854.3,1182.8
A0M,Southwestern Newfoundland (Channel-Port aux Basques),Newfoundland and Labrador,47.8037,-58.3869,Deer Lake Airport,YDF,172.8,4911.0,1581.5,A,Cape Breton (Cabot Trail) NS,253.2,263.39,8.5404,Gaspé QC,464.6,1313.21,22.2595,819.4,794.2,2548.2,YVR,854.3,1182.8
A0N,Port au Port Peninsula region (St. George's),Newfoundland and Labrador,48.0868,-57.8231,Deer Lake Airport,YDF,128.9,4939.7,1630.3,A,Cape Breton (Cabot Trail) NS,304.9,461.63,11.1239,Gaspé QC,497.6,2865.86,40.6775,819.4,794.2,2548.2,YVR,854.3,1182.8
A0P,Central Labrador (Happy Valley-Goose Bay),Newfoundland and Labrador,54.9549,-61.6024,Hopedale Airport,YHO,103.0,4493.7,1814.0,A,Happy Valley-Goose Bay NL,199.0,984.38,30.1779,Happy Valley-Goose Bay NL,199.0,984.38,30.1779,876.7,823.5,2208.6,YVR,873.3,859.3
A0R,North/Western Labrador (Churchill Falls),Newfoundland and Labrador,53.54,-65.112,Sept-Iles Airport,YZV,377.2,4297.3,1549.5,A,Happy Valley-Goose Bay NL,311.6,380.86,4.9225,Sept-Îles QC,377.2,688.53,10.547,934.6,971.1,1853.4,YVR,788.1,860.2
A1A,St. John's North,Newfoundland and Labrador,47.5986,-52.6926,St. John's Intl,YYT,5.0,5313.5,1986.0,A,St. John's NL,4.4,5.1,0.1384,Gros Morne NL,434.7,708.11,9.0915,745.8,811.6,1878.9,YVR,1097.5,1241.7
A1B,St. John's Northwest Newfoundland & Labrador Provincial Government,Newfoundland and Labrador,47.5698,-52.7796,St. John's Intl,YYT,5.8,5308.7,1979.1,A,St. John's NL,5.1,8.02,0.1589,Gros Morne NL,431.0,699.48,8.9368,745.8,811.6,1878.9,YVR,1097.5,1241.7
A1C,St. John's North Central,Newfoundland and Labrador,47.5124,-52.6729,St. John's Intl,YYT,13.2,5318.5,1985.9,A,St. John's NL,6.2,10.74,0.2278,Gros Morne NL,441.2,711.75,9.1842,745.8,811.6,1878.9,YVR,1097.5,1241.7
A1E,St. John's Central,Newfoundland and Labrador,47.5334,-52.7595,St. John's Intl,YYT,9.5,5311.6,1979.9,A,St. John's NL,4.7,6.79,0.1495,Gros Morne NL,434.5,702.04,8.9924,745.8,811.6,1878.9,YVR,1097.5,1241.7
