fsa,further_set,d1_name,d2_name,flight_dest_1,flight_dest_2,flight_dest_3,flight_dest_4,flight_dest_5
B0L,A,Halifax NS,La Malbaie / Charlevoix QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B0M,A,Halifax NS,Rivière-du-Loup QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B0N,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B0P,A,Halifax NS,Rivière-du-Loup QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B0R,A,Halifax NS,Gaspé QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B0S,A,Halifax NS,La Malbaie / Charlevoix QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B0T,A,Halifax NS,Campbellton / Restigouche NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B0V,A,Quebec City QC (Old City),Sherbrooke QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B0W,A,Halifax NS,Îles de la Madeleine QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B1A,A,Halifax NS,Saint John NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B1B,A,Halifax NS,Saint John NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B1C,A,Halifax NS,Saint John NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B1E,A,Halifax NS,Saint John NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B1G,A,Halifax NS,Saint John NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B1H,A,Halifax NS,Saint John NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B1J,A,Halifax NS,Fredericton NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B1K,A,Halifax NS,Fredericton NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B1L,A,Halifax NS,Fredericton NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B1M,A,Halifax NS,Saint John NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B1N,A,Halifax NS,Saint John NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B1P,A,Halifax NS,Fredericton NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B1R,A,Halifax NS,Fredericton NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B1S,A,Halifax NS,Fredericton NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B1T,A,Halifax NS,Gros Morne NL,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B1V,A,Halifax NS,Fredericton NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B1W,A,Halifax NS,Fredericton NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B1X,A,Halifax NS,Fredericton NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B1Y,A,Halifax NS,Fredericton NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B2A,A,Halifax NS,Fredericton NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B2C,A,Halifax NS,Campbellton / Restigouche NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B2E,A,Halifax NS,Gros Morne NL,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B2G,A,Halifax NS,Corner Brook NL,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B2H,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B2J,A,Halifax NS,Fredericton NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B2N,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B2R,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B2S,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B2T,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B2V,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B2W,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B2X,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B2Y,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B2Z,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B3A,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B3B,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B3E,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B3G,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B3H,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B3J,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B3K,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
B3L,A,Halifax NS,Edmundston NB,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
