Canada FSA Climate Footprint Database,,,,,,,,,,,,,,,,,,,,,,,,
"1,650 Forward Sortation Areas | Set A = YVR + SFO (Pacific) | Set B = YYZ + JFK (Atlantic)",,,,,,,,,,,,,,,,,,,,,,,,
FSA,Name / Area,Province / Territory,Lat,Lon,Nearest Major Airport,Airport IATA,Airport SL km,"Dist Set A km
(YVR+SFO)","Dist Set B km
(YYZ+JFK)",Further Set,D1 Name,D1 SL km,D1 Driving km,D1 Driving hrs,D2 Name,D2 SL km,D2 Driving km,D2 Driving hrs,CO2e CDG kg,CO2e LHR kg,CO2e NRT kg,"Set Airport 1
(IATA)",CO2e Set1 kg,CO2e Set2 kg
E8E,Balmoral,New Brunswick,47.6790,-66.4342,Greater Moncton Romeo LeBlanc Intl,YQM,219.4,"4,347.3","1,046.0",A,Quebec City QC (Old City),372.9,554.11,9.1588,Sherbrooke QC,488.0,778.69,11.5669,958.3,923.7,"2,183.5",YVR,837.6,"1,118.2"
E8G,Belledune,New Brunswick,47.8023,-66.1243,Greater Moncton Romeo LeBlanc Intl,YQM,217.6,"4,365.7","1,071.8",A,Quebec City QC (Old City),398.7,561.88,8.134,Cape Breton (Cabot Trail) NS,459.9,742.61,9.8492,958.3,923.7,"2,183.5",YVR,837.6,"1,118.2"
E8J,Petit-Rocher,New Brunswick,47.7941,-65.8219,Greater Moncton Romeo LeBlanc Intl,YQM,206.2,"4,387.4","1,089.4",A,Quebec City QC (Old City),420.4,574.08,8.111,Cape Breton (Cabot Trail) NS,438.8,705.53,9.2101,958.3,923.7,"2,183.5",YVR,837.6,"1,118.2"
E8K,Beresford,New Brunswick,47.6913,-65.6989,Greater Moncton Romeo LeBlanc Intl,YQM,191.9,"4,399.3","1,090.9",A,Quebec City QC (Old City),427.0,548.74,7.9696,Cape Breton (Cabot Trail) NS,425.8,687.6,8.9373,958.3,923.7,"2,183.5",YVR,837.6,"1,118.2"
E8L,Allardville,New Brunswick,47.4750,-65.4950,Greater Moncton Romeo LeBlanc Intl,YQM,163.8,"4,420.5","1,091.2",A,Quebec City QC (Old City),438.2,569.67,8.2204,Saguenay / Chicoutimi QC,427.7,796.37,10.7498,958.3,923.7,"2,183.5",YVR,837.6,"1,118.2"
E8M,Saint-Isidore,New Brunswick,47.5765,-65.1379,Greater Moncton Romeo LeBlanc Intl,YQM,166.5,"4,442.8","1,119.1",A,Quebec City QC (Old City),466.3,612.38,9.0417,Saguenay / Chicoutimi QC,450.5,839.09,11.5711,958.3,923.7,"2,183.5",YVR,837.6,"1,118.2"
E8N,Grande-Anse,New Brunswick,47.8078,-65.1945,Greater Moncton Romeo LeBlanc Intl,YQM,192.6,"4,431.6","1,128.4",A,Quebec City QC (Old City),466.5,594.75,8.564,Saguenay / Chicoutimi QC,440.7,821.46,11.0935,958.3,923.7,"2,183.5",YVR,837.6,"1,118.2"
E8P,Inkerman,New Brunswick,47.6672,-64.8248,Greater Moncton Romeo LeBlanc Intl,YQM,173.3,"4,462.2","1,143.6",A,Quebec City QC (Old City),491.0,632.74,9.172,Saguenay / Chicoutimi QC,471.0,859.44,11.7014,958.3,923.7,"2,183.5",YVR,837.6,"1,118.2"
E8R,Paquetville,New Brunswick,47.6383,-65.1709,Greater Moncton Romeo LeBlanc Intl,YQM,173.8,"4,438.5","1,120.4",A,Quebec City QC (Old City),464.9,602.47,8.768,Saguenay / Chicoutimi QC,446.5,829.18,11.2975,958.3,923.7,"2,183.5",YVR,837.6,"1,118.2"
E8S,Shippagan,New Brunswick,47.7287,-64.7247,Greater Moncton Romeo LeBlanc Intl,YQM,179.8,"4,467.4","1,153.2",A,Quebec City QC (Old City),499.5,645.15,9.3261,Saguenay / Chicoutimi QC,476.9,871.85,11.8556,958.3,923.7,"2,183.5",YVR,837.6,"1,118.2"
E8T,Lamèque,New Brunswick,47.7936,-64.6475,Greater Moncton Romeo LeBlanc Intl,YQM,187.0,"4,470.8","1,161.6",A,Halifax NS,359.3,508.96,6.6994,Saguenay / Chicoutimi QC,481.1,883.47,12.0341,958.3,923.7,"2,183.5",YVR,837.6,"1,118.2"
E9A,Baie-Sainte-Anne,New Brunswick,47.0188,-64.9200,Greater Moncton Romeo LeBlanc Intl,YQM,102.5,"4,476.1","1,104.1",A,Quebec City QC (Old City),478.0,642.16,9.5734,Saguenay / Chicoutimi QC,485.1,868.86,12.1028,958.3,923.7,"2,183.5",YVR,837.6,"1,118.2"
E9B,Blackville,New Brunswick,46.7398,-65.8319,Greater Moncton Romeo LeBlanc Intl,YQM,112.6,"4,419.6","1,031.0",A,Quebec City QC (Old City),409.4,546.38,8.0412,Sherbrooke QC,490.4,748.3,10.2528,958.3,923.7,"2,183.5",YVR,837.6,"1,118.2"
E9C,Doaktown,New Brunswick,46.5570,-66.1257,Greater Moncton Romeo LeBlanc Intl,YQM,121.6,"4,404.3","1,002.7",A,Quebec City QC (Old City),388.7,600.06,8.4613,Trois-Rivières QC,492.7,730.98,9.6593,958.3,923.7,"2,183.5",YVR,837.6,"1,118.2"
E9E,Red Bank,New Brunswick,46.8486,-65.6772,Greater Moncton Romeo LeBlanc Intl,YQM,112.0,"4,427.2","1,046.5",A,Quebec City QC (Old City),420.7,546.94,8.0563,Saguenay / Chicoutimi QC,439.8,773.64,10.5857,958.3,923.7,"2,183.5",YVR,837.6,"1,118.2"
E9G,Neguac,New Brunswick,47.2489,-65.0741,Greater Moncton Romeo LeBlanc Intl,YQM,129.9,"4,457.6","1,105.7",A,Quebec City QC (Old City),467.3,623.59,9.0563,Saguenay / Chicoutimi QC,465.5,850.3,11.5857,958.3,923.7,"2,183.5",YVR,837.6,"1,118.2"
E9H,Brantville,New Brunswick,47.3528,-65.0538,Greater Moncton Romeo LeBlanc Intl,YQM,140.9,"4,455.8","1,112.4",A,Quebec City QC (Old City),469.7,630.73,9.2477,Saguenay / Chicoutimi QC,463.4,857.43,11.7771,958.3,923.7,"2,183.5",YVR,837.6,"1,118.2"
G0A,Capitale-Nationale (Stoneham),Quebec,47.3507,-71.2020,Quebec City Jean Lesage Intl,YQB,63.9,"4,014.1",773.1,A,Quebec City QC (Old City),59.7,75.77,1.1018,Thousand Islands ON,489.8,568.77,7.5165,965.5,859.4,"2,846.2",YVR,671.1,956.3
G0B,Cap-aux-Meules,Quebec,47.4501,-72.9913,Montréal-Trudeau Intl,YUL,227.5,"3,882.2",712.3,A,Quebec City QC (Old City),152.3,272.92,4.6544,Campbellton / Restigouche NB,476.4,775.68,11.3804,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G0C,Gaspésie-Sud (New Richmond),Quebec,48.3429,-65.5961,Baie-Comeau Airport,YBC,210.4,"4,387.2","1,136.0",A,Quebec City QC (Old City),453.9,614.82,9.4889,Cape Breton (Cabot Trail) NS,452.1,896.25,12.4749,859.3,918.8,"2,200.3",YVR,817.6,941.7
G0E,Gaspésie-Nord (Grande-Vallée),Quebec,48.9182,-65.3736,Sept-Iles Airport,YZV,158.7,"4,386.4","1,185.3",A,Quebec City QC (Old City),494.0,591.61,8.7704,Halifax NS,494.1,801.75,11.5182,934.6,971.1,"1,853.4",YVR,788.1,860.2
G0G,Côte-Nord/Anticosti (Schefferville),Quebec,53.0413,-68.6884,Sept-Iles Airport,YZV,355.1,"4,072.7","1,373.0",A,Sept-Îles QC,355.1,497.86,8.4253,Baie-Comeau QC,435.9,558.34,8.9778,934.6,971.1,"1,853.4",YVR,788.1,860.2
G0H,Manicouagan (Baie-Trinité),Quebec,49.3795,-67.8948,Baie-Comeau Airport,YBC,35.5,"4,198.1","1,086.0",A,Quebec City QC (Old City),376.7,458.69,6.5221,Charlottetown PE,498.4,968.14,13.8619,859.3,918.8,"2,200.3",YVR,817.6,941.7
G0J,Gaspésie-Ouest (Causapscal),Quebec,48.5246,-67.0565,Baie-Comeau Airport,YBC,107.8,"4,279.1","1,065.7",A,Quebec City QC (Old City),364.4,432.96,6.7676,Trois-Rivières QC,478.7,563.88,7.9655,859.3,918.8,"2,200.3",YVR,817.6,941.7
G0K,Bas-St-Laurent-Est (Sainte-Luce),Quebec,48.1590,-68.1951,Baie-Comeau Airport,YBC,108.3,"4,208.3",979.6,A,Quebec City QC (Old City),271.3,337.88,5.4532,Îles de la Madeleine QC,480.6,884.54,16.0837,859.3,918.8,"2,200.3",YVR,817.6,941.7
G0L,Bas-St-Laurent-Ouest (Trois-Pistoles),Quebec,47.7136,-69.1658,Quebec City Jean Lesage Intl,YQB,196.9,"4,151.0",897.3,A,Quebec City QC (Old City),183.7,219.35,3.3002,Charlottetown PE,486.2,690.48,8.7054,965.5,859.4,"2,846.2",YVR,671.1,956.3
G0M,Région de Beauce (Saint-Prosper-De-Dorchester),Quebec,45.9718,-70.6565,Montréal-Trudeau Intl,YUL,245.8,"4,092.2",697.8,A,Quebec City QC (Old City),102.8,123.32,1.7457,Kingston ON,496.6,576.16,7.6621,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G0N,Chaudière-Sud (Disraeli),Quebec,46.0988,-71.1248,Montréal-Trudeau Intl,YUL,214.5,"4,054.1",682.4,A,Quebec City QC (Old City),79.8,117.03,1.9752,Moncton NB,489.3,733.37,9.5608,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G0P,Centre-du-Québec-Est (Saint-Valère),Quebec,46.0119,-71.7199,Montréal-Trudeau Intl,YUL,168.0,"4,012.9",647.3,A,Quebec City QC (Old City),97.4,136.62,2.0796,Bathurst NB,495.1,674.43,9.4656,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G0R,Appalaches (La Pocatière),Quebec,46.7980,-70.3288,Quebec City Jean Lesage Intl,YQB,81.0,"4,092.3",772.0,A,Quebec City QC (Old City),67.0,89.26,1.6731,Gaspé QC,491.6,643.86,9.2502,965.5,859.4,"2,846.2",YVR,671.1,956.3
G0S,Chaudière-Nord (Saint-Joseph-De-Beauce),Quebec,46.4526,-71.4397,Montréal-Trudeau Intl,YUL,208.7,"4,021.0",692.8,A,Quebec City QC (Old City),43.9,59.69,1.0372,Kingston ON,465.2,510.93,6.5594,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G0T,Le Fjord (Forestville),Quebec,49.0143,-69.6231,Baie-Comeau Airport,YBC,104.2,"4,085.7",977.8,A,Quebec City QC (Old City),271.7,421.58,7.9599,Saint John NB,495.4,1063.9,16.268,859.3,918.8,"2,200.3",YVR,817.6,941.7
G0V,Saguenay-Lac-St-Jean (Alouette),Quebec,50.1719,-70.6283,Bagotville Airport,YBG,206.5,"3,990.6","1,040.2",A,Quebec City QC (Old City),375.8,493.92,8.3588,Miramichi NB,492.6,1063.46,16.794,"1,159.6",774.9,"2,200.3",YVR,934.3,956.2
G0W,Région de Mistassini (Chambord),Quebec,49.8340,-72.2623,Bagotville Airport,YBG,190.9,"3,883.5",956.5,A,Quebec City QC (Old City),344.7,423.52,8.445,Sherbrooke QC,493.3,654.18,11.3444,"1,159.6",774.9,"2,200.3",YVR,934.3,956.2
G0X,Mauricie (Parent),Quebec,47.9168,-74.6159,Mirabel Intl,YMX,252.6,"3,754.3",711.1,A,Quebec City QC (Old City),284.4,417.41,7.1943,Peterborough ON,492.3,661.29,11.3645,"1,073.7",996.0,"2,707.4",YVR,685.3,809.1
G0Y,L'Erable (Nantes),Quebec,45.6242,-71.0191,Montréal-Trudeau Intl,YUL,212.6,"4,076.0",655.7,A,Quebec City QC (Old City),133.1,179.23,2.7132,Moncton NB,485.9,741.63,9.3978,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G0Z,Centre-du-Québec-Nord (Daveluyville),Quebec,46.1790,-72.1569,Montréal-Trudeau Intl,YUL,145.8,"3,976.0",639.8,A,Quebec City QC (Old City),101.3,112,1.5324,Algonquin Park ON,484.8,601.95,8.2657,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G1A,Quebec Provincial Government,Quebec,46.8588,-71.1920,Montréal-Trudeau Intl,YUL,249.7,"4,027.9",735.0,A,Quebec City QC (Old City),5.1,7.2,0.1535,Moncton NB,498.4,775.11,9.5504,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G1B,Beauport North,Quebec,46.9263,-71.2258,Quebec City Jean Lesage Intl,YQB,19.7,"4,023.6",738.6,A,Quebec City QC (Old City),12.6,21.84,0.462,Fundy NP NB,499.0,779.52,9.9076,965.5,859.4,"2,846.2",YVR,671.1,956.3
G1C,Beauport Central,Quebec,46.8801,-71.1960,Quebec City Jean Lesage Intl,YQB,18.0,"4,027.0",736.4,A,Quebec City QC (Old City),7.4,9.7,0.2253,Moncton NB,499.1,774.04,9.5248,965.5,859.4,"2,846.2",YVR,671.1,956.3
G1E,Beauport South,Quebec,46.8588,-71.1920,Montréal-Trudeau Intl,YUL,249.7,"4,027.9",735.0,A,Quebec City QC (Old City),5.1,7.2,0.1535,Moncton NB,498.4,775.11,9.5504,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G1G,Jean-Talon Southeast,Quebec,46.8765,-71.2839,Montréal-Trudeau Intl,YUL,245.4,"4,020.7",732.1,A,Quebec City QC (Old City),9.0,11.76,0.2415,Thousand Islands ON,452.0,504.75,6.6563,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G1H,Charlesbourg South,Quebec,46.8528,-71.2573,Montréal-Trudeau Intl,YUL,245.3,"4,023.3",731.5,A,Quebec City QC (Old City),5.7,6.49,0.1817,Fundy NP NB,499.3,764.24,9.6072,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G1J,Quebec City Lower Riverbank,Quebec,46.8380,-71.2232,Montréal-Trudeau Intl,YUL,246.4,"4,026.2",732.0,A,Quebec City QC (Old City),2.9,3.5,0.1077,Fundy NP NB,496.4,742.05,9.7653,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G1K,Quebec City Mid-Riverbank,Quebec,46.8140,-71.2194,Montréal-Trudeau Intl,YUL,245.0,"4,027.1",730.3,A,Quebec City QC (Old City),0.9,1.35,0.0509,Moncton NB,499.9,745,9.5792,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G1L,Quebec City Northeast,Quebec,46.8304,-71.2455,Montréal-Trudeau Intl,YUL,244.5,"4,024.8",730.3,A,Quebec City QC (Old City),3.4,4.2,0.1417,Kingston ON,500.0,548.21,6.9706,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G1M,Quebec City North Central,Quebec,46.8183,-71.2706,Montréal-Trudeau Intl,YUL,242.2,"4,023.3",728.3,A,Quebec City QC (Old City),4.8,6.34,0.181,Fundy NP NB,499.4,758.91,9.576,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G1N,Quebec City South Central,Quebec,46.8035,-71.2639,Montréal-Trudeau Intl,YUL,241.6,"4,024.1",727.4,A,Quebec City QC (Old City),4.4,5.23,0.1568,Fundy NP NB,498.5,757,9.5103,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G1P,Quebec City West,Quebec,46.8097,-71.3102,Montréal-Trudeau Intl,YUL,239.2,"4,020.6",725.8,A,Quebec City QC (Old City),7.8,11.01,0.2367,Kingston ON,494.6,539.27,6.8563,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G1R,Quebec City East,Quebec,46.8074,-71.2181,Montréal-Trudeau Intl,YUL,244.7,"4,027.4",729.8,A,Quebec City QC (Old City),1.0,1.5,0.0603,Moncton NB,499.7,761.28,9.4563,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G1S,Quebec City South,Quebec,46.7933,-71.2453,Montréal-Trudeau Intl,YUL,242.1,"4,025.8",727.5,A,Quebec City QC (Old City),3.6,4.07,0.1315,Kingston ON,497.7,537.25,6.8681,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G1T,Quebec City Upper Riverbank,Quebec,46.7741,-71.2609,Montréal-Trudeau Intl,YUL,239.9,"4,025.2",725.3,A,Quebec City QC (Old City),6.0,6.85,0.2131,Fundy NP NB,497.6,752.27,9.493,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G1V,Sainte-Foy Northeast,Quebec,46.7823,-71.2882,Montréal-Trudeau Intl,YUL,238.7,"4,023.0",724.7,A,Quebec City QC (Old City),7.0,8.69,0.2367,Fundy NP NB,499.8,751.47,9.4515,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G1W,Sainte-Foy Southeast,Quebec,46.7589,-71.2980,Montréal-Trudeau Intl,YUL,236.6,"4,022.9",722.5,A,Quebec City QC (Old City),9.2,14.55,0.2933,Fundy NP NB,500.0,747.88,9.3633,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G1X,Sainte-Foy West,Quebec,46.7749,-71.3344,Montréal-Trudeau Intl,YUL,235.4,"4,019.8",722.0,A,Quebec City QC (Old City),10.5,12.25,0.2868,Kingston ON,490.9,535.1,6.7845,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G1Y,Cap-Rouge,Quebec,46.7507,-71.3562,Montréal-Trudeau Intl,YUL,232.5,"4,018.9",719.2,A,Quebec City QC (Old City),13.3,16.6,0.3501,Kingston ON,488.1,538.07,6.8194,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G2A,Loretteville North,Quebec,46.8751,-71.3920,Montréal-Trudeau Intl,YUL,238.9,"4,012.9",727.2,A,Quebec City QC (Old City),15.5,17.91,0.3862,Kingston ON,493.5,549.85,7.0169,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G2B,Loretteville South,Quebec,46.8505,-71.3357,Montréal-Trudeau Intl,YUL,240.5,"4,017.6",727.8,A,Quebec City QC (Old City),10.5,13.22,0.2938,Kingston ON,495.5,545.47,6.9699,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G2C,Quebec City Northwest,Quebec,46.8287,-71.3340,Montréal-Trudeau Intl,YUL,239.1,"4,018.4",726.2,A,Quebec City QC (Old City),9.7,12.78,0.2714,Kingston ON,494.3,541.84,6.8953,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G2E,L'Ancienne-Lorette Northeast,Quebec,46.8083,-71.3605,Montréal-Trudeau Intl,YUL,236.1,"4,017.0",723.4,A,Quebec City QC (Old City),11.6,17.24,0.3314,Kingston ON,491.3,542.56,6.8795,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G2G,L'Ancienne-Lorette Southwest,Quebec,46.7903,-71.4157,Montréal-Trudeau Intl,YUL,231.6,"4,013.5",719.5,A,Quebec City QC (Old City),16.0,19.96,0.3864,Kingston ON,486.7,538.55,6.8474,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G2J,Quebec City Inner North,Quebec,46.8399,-71.2781,Montréal-Trudeau Intl,YUL,243.2,"4,022.1",729.6,A,Quebec City QC (Old City),6.1,7.97,0.1836,Kingston ON,498.5,545.74,6.9333,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G2K,Quebec City Outer North,Quebec,46.8545,-71.3044,Montréal-Trudeau Intl,YUL,242.6,"4,019.8",729.5,A,Quebec City QC (Old City),8.6,10.77,0.2285,Kingston ON,497.7,545.48,6.9658,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G2L,Charlesbourg North,Quebec,46.8895,-71.2545,Montréal-Trudeau Intl,YUL,248.0,"4,022.5",734.5,A,Quebec City QC (Old City),9.1,11.5,0.2825,Thousand Islands ON,454.7,506.63,6.7027,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G2M,Jean-Talon Northeast,Quebec,46.9220,-71.3056,Montréal-Trudeau Intl,YUL,247.3,"4,017.9",734.7,A,Quebec City QC (Old City),14.1,18.34,0.3501,Thousand Islands ON,453.7,511.33,6.7648,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G2N,Jean-Talon West,Quebec,46.9137,-71.3398,Montréal-Trudeau Intl,YUL,244.7,"4,015.6",732.5,A,Quebec City QC (Old City),14.9,16.6,0.2632,Kingston ON,499.2,555.82,7.0299,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G3A,St-Augustin-De-Desmaures,Quebec,46.7406,-71.4513,Montréal-Trudeau Intl,YUL,226.0,"4,012.2",714.1,A,Quebec City QC (Old City),20.2,21.93,0.4105,Kingston ON,481.4,529.69,6.6907,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G3B,Lac-Beauport,Quebec,46.9833,-71.2906,Quebec City Jean Lesage Intl,YQB,22.8,"4,017.4",740.1,A,Quebec City QC (Old City),19.8,25.45,0.4807,Thousand Islands ON,458.8,518.45,6.8954,965.5,859.4,"2,846.2",YVR,671.1,956.3
G3C,Stoneham-et-Tewkesbury,Quebec,47.1691,-71.4332,Quebec City Jean Lesage Intl,YQB,42.1,"4,002.1",748.5,A,Quebec City QC (Old City),43.0,47.06,1.0407,Saint John NB,463.7,689.39,9.3489,965.5,859.4,"2,846.2",YVR,671.1,956.3
G3E,Saint-Émile,Quebec,46.8779,-71.3408,Montréal-Trudeau Intl,YUL,242.1,"4,016.5",729.7,A,Quebec City QC (Old City),12.3,15.73,0.2939,Kingston ON,496.9,549.09,7.0506,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G3G,Lac-Saint-Charles,Quebec,46.9242,-71.3958,Montréal-Trudeau Intl,YUL,242.3,"4,011.3",730.8,A,Quebec City QC (Old City),18.8,22.39,0.4019,Kingston ON,496.4,561.61,7.1686,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G3H,Pont-Rouge,Quebec,46.7547,-71.6957,Montréal-Trudeau Intl,YUL,212.7,"3,994.0",704.3,A,Quebec City QC (Old City),37.7,43.96,0.6925,Kingston ON,466.9,512.22,6.4906,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G3J,Val-Bélair North,Quebec,46.8603,-71.4752,Montréal-Trudeau Intl,YUL,233.1,"4,007.2",722.3,A,Quebec City QC (Old City),21.0,26.57,0.4428,Kingston ON,487.4,548.65,7.0083,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G3K,Val-Bélair South,Quebec,46.8315,-71.4429,Montréal-Trudeau Intl,YUL,232.9,"4,010.4",721.5,A,Quebec City QC (Old City),18.0,22.98,0.4279,Kingston ON,487.6,543.83,6.9796,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G3L,Saint-Raymond,Quebec,47.2374,-71.8763,Montréal-Trudeau Intl,YUL,243.0,"3,968.2",735.5,A,Quebec City QC (Old City),69.2,104.58,2.7965,Saint John NB,497.3,732.01,10.8804,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G3M,Donnacona,Quebec,46.6804,-71.7239,Montréal-Trudeau Intl,YUL,205.7,"3,994.0",697.3,A,Quebec City QC (Old City),42.0,44.97,0.6757,Bathurst NB,470.9,596.19,8.2598,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G3N,Sainte-Catherine-de-la-Jacques-Cartier,Quebec,46.8524,-71.6206,Montréal-Trudeau Intl,YUL,224.2,"3,996.9",715.3,A,Quebec City QC (Old City),31.7,39.31,0.6477,Kingston ON,477.9,525.5,6.7509,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G3S,Shannon,Quebec,46.8803,-71.5146,Montréal-Trudeau Intl,YUL,232.3,"4,003.8",722.1,A,Quebec City QC (Old City),24.4,29.57,0.4896,Kingston ON,486.2,536.28,6.9694,"1,080.3","1,035.5","2,139.8",YVR,734.0,812.8
G3Z,Baie-Saint-Paul,Quebec,47.4411,-70.4986,Quebec City Jean Lesage Intl,YQB,99.0,"4,062.5",811.9,A,Quebec City QC (Old City),88.0,95.21,1.4284,Gaspé QC,472.5,792.26,11.2261,965.5,859.4,"2,846.2",YVR,671.1,956.3
G4A,Clermont,Quebec,47.7184,-70.2276,Quebec City Jean Lesage Intl,YQB,135.5,"4,074.7",846.1,A,Quebec City QC (Old City),124.9,140.44,2.1063,Ottawa ON,489.8,585.89,7.725,965.5,859.4,"2,846.2",YVR,671.1,956.3
G4R,Sept-Îles Southeast,Quebec,50.8558,-67.0511,Sept-Iles Airport,YZV,89.6,"4,222.1","1,242.8",A,Saguenay / Chicoutimi QC,395.1,616.31,8.7135,Miramichi NB,437.3,870.8,14.5953,934.6,971.1,"1,853.4",YVR,788.1,860.2
G4S,Sept-Îles Northwest,Quebec,50.2713,-66.3751,Sept-Iles Airport,YZV,9.4,"4,281.7","1,228.2",A,Moncton NB,480.0,982.81,13.7897,Fredericton NB,479.4,813.42,11.878,934.6,971.1,"1,853.4",YVR,788.1,860.2
G4T,Les Îles-De-La-Madeleine,Quebec,47.3999,-61.7996,Iles-de-la-Madeleine Airport,YGR,3.2,"4,685.6","1,330.0",A,Halifax NS,335.2,559.04,10.6109,Edmundston NB,491.3,838.58,13.7114,853.5,969.2,"2,341.8",YVR,861.0,859.3
G4V,Sainte-Anne-Des-Monts,Quebec,48.9711,-66.3082,Sept-Iles Airport,YZV,139.3,"4,319.5","1,137.0",A,Quebec City QC (Old City),436.9,498.52,7.3509,Saint John NB,411.6,648.04,9.309,934.6,971.1,"1,853.4",YVR,788.1,860.2
G4W,Matane,Quebec,48.8286,-67.5220,Baie-Comeau Airport,YBC,60.2,"4,238.2","1,062.9",A,Quebec City QC (Old City),354.8,386.96,5.7123,Trois-Rivières QC,467.1,517.87,6.9103,859.3,918.8,"2,200.3",YVR,817.6,941.7
G4X,Gaspé,Quebec,48.8334,-64.4819,Sept-Iles Airport,YZV,201.1,"4,451.1","1,231.4",A,Halifax NS,470.4,881.42,12.0077,Lunenburg NS,495.9,959.59,13.0877,934.6,971.1,"1,853.4",YVR,788.1,860.2
G4Z,Baie-Comeau Northeast,Quebec,51.0872,-68.6320,Sept-Iles Airport,YZV,192.5,"4,109.8","1,196.3",A,Saguenay / Chicoutimi QC,343.3,569.58,8.1027,Miramichi NB,495.3,824.07,13.9845,934.6,971.1,"1,853.4",YVR,788.1,860.2
G5A,La Malbaie,Quebec,47.6575,-70.1559,Quebec City Jean Lesage Intl,YQB,134.2,"4,081.5",844.7,A,Quebec City QC (Old City),122.9,142.02,2.112,Ottawa ON,491.2,587.48,7.7307,965.5,859.4,"2,846.2",YVR,671.1,956.3
G5B,Port-Cartier,Quebec,50.0334,-66.8655,Sept-Iles Airport,YZV,47.7,"4,253.7","1,186.2",A,Quebec City QC (Old City),480.3,581.79,7.6813,Îles de la Madeleine QC,470.3,1318.61,21.3014,934.6,971.1,"1,853.4",YVR,788.1,860.2
G5C,Baie-Comeau Southwest,Quebec,50.3474,-69.0411,Baie-Comeau Airport,YBC,147.9,"4,096.7","1,115.4",A,Quebec City QC (Old City),424.0,610.75,9.1972,Miramichi NB,436.3,766.27,13.4967,859.3,918.8,"2,200.3",YVR,817.6,941.7
G5H,Mont-Joli,Quebec,48.5839,-68.1921,Baie-Comeau Airport,YBC,61.0,"4,197.3","1,010.8",A,Quebec City QC (Old City),299.4,326.17,4.6814,Îles de la Madeleine QC,489.2,836.37,14.7502,859.3,918.8,"2,200.3",YVR,817.6,941.7
G5J,Amqui,Quebec,48.4638,-67.4313,Baie-Comeau Airport,YBC,93.5,"4,254.2","1,041.4",A,Quebec City QC (Old City),337.2,394.64,5.6821,Sherbrooke QC,480.0,619.23,8.0902,859.3,918.8,"2,200.3",YVR,817.6,941.7
G5L,Rimouski Central,Quebec,48.4160,-68.5979,Baie-Comeau Airport,YBC,84.7,"4,172.9",978.0,A,Quebec City QC (Old City),264.6,287.13,4.2439,Montreal QC,497.1,530.81,6.9681,859.3,918.8,"2,200.3",YVR,817.6,941.7
G5M,Rimouski Northeast,Quebec,48.4966,-68.4580,Baie-Comeau Airport,YBC,73.1,"4,180.7",991.0,A,Quebec City QC (Old City),278.2,304.87,4.433,Charlottetown PE,473.1,632.92,8.8279,859.3,918.8,"2,200.3",YVR,817.6,941.7
